name,weight_type,host,model_type,model_subfolder,repo_id,filename,subfolder,repo_type,revision
Flux1dev,fp16,hf,diffusion_models,flux1dev,black-forest-labs/FLUX.1-dev,flux1-dev.safetensors
GetPhat-V11,fp16,civitai,diffusion_models,flux1dev,861840,0,,,2060393
JibMixFlux-V12,fp16,civitai,diffusion_models,flux1dev,686814,0,,,2319074
FuxCapacity-V40,fp16,civitai,diffusion_models,flux1dev,679262,0,,,2298051
UltraFineTune-V4,fp16,civitai,diffusion_models,flux1dev,978314,0,,,1413133
FluxedUp-V51,fp16,civitai,diffusion_models,flux1dev,847101,0,,,2278561
comfy-flux-2-dev-fp8,fp8,hf,diffusion_models,comfy-flux2,Comfy-Org/flux2-dev,flux2_dev_fp8mixed.safetensors,split_files/diffusion_models,,
comfy-qwen-edit-2509-bf16,bf16,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image-Edit_ComfyUI,qwen_image_edit_2509_bf16.safetensors,split_files/diffusion_models,,
comfy-qwen-edit-2509-fp8,fp8,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image-Edit_ComfyUI,qwen_image_edit_2509_fp8_e4m3fn.safetensors,split_files/diffusion_models,,
comfy-qwen-edit-fp8,fp8,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image-Edit_ComfyUI,qwen_image_edit_fp8_e4m3fn.safetensors,split_files/diffusion_models,,
comfy-qwen-edit-bf16,bf16,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image-Edit_ComfyUI,qwen_image_edit_bf16.safetensors,split_files/diffusion_models,,
comfy-qwen-bf16,bf16,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image_ComfyUI,qwen_image_bf16.safetensors,split_files/diffusion_models,,
comfy-qwen-fp8,fp8,hf,diffusion_models,comfy-qwen,Comfy-Org/Qwen-Image_ComfyUI,qwen_image_fp8_e4m3fn.safetensors,split_files/diffusion_models,,
bfl-flux-2-dev-fp16,fp16,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-dev,flux2-dev.safetensors,"",,
bfl-flux-2-klein-base-9b-fp8,fp8,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-base-9b-fp8,flux-2-klein-base-9b-fp8.safetensors,"",,
bfl-flux-2-klein-base-9b-fp16,fp16,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-base-9B,flux-2-klein-base-9b.safetensors,"",,
bfl-flux-2-fp16,fp16,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-dev,flux2-dev.safetensors,"",,
bfl-flux-2-klein-9b-fp16,fp16,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-9B,flux-2-klein-9b.safetensors,"",,
bfl-flux-2-klein-9b-fp8,fp8,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-9b-fp8,flux-2-klein-9b-fp8.safetensors,"",,
bfl-flux-2-dev-mixed-nvfp4,nvfp4,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-dev-NVFP4,flux2-dev-nvfp4-mixed.safetensors,"",,
bfl-flux-2-klein-9b-nvfp4,nvfp4,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-9b-nvfp4,flux-2-klein-9b-nvfp4.safetensors,"",,
bfl-flux-2-klein-base-9b-nvfp4,nvfp4,hf,diffusion_models,bfl-flux2,black-forest-labs/FLUX.2-klein-base-9b-nvfp4,flux-2-klein-base-9b-nvfp4.safetensors,"",,
